date	area	type	description	file
2026-09-22	repo	scaffold	TurboKain repo scaffolded: Kain-native signal tooling as the alien half of Objective 1. Source crates live in kain/ (renamed from src/ for a clean crates-like layout — every folder is its own crate with its own build.txt). markscript/ holds the campaign runtime, reports/ holds receipts, _tmp/ is scratch. No Python in the hot path, no Bazel in this repo.	kain/, markscript/, reports/, _tmp/, README.md, .gitattributes
2026-09-21	tool	build	Example 01: lane_sieve.kn — per-lane quarantine sieve over quantized voltage codes (LCG fill, RMS + diversity laws, spec-vs-AVX2 converge, self-validating main). Built via the installed compiler, 413 KB exe. Receipt: lanes 3 (rms+diversity) and 7 (rms) QUARANTINE, exit 0. This is the mold every TurboKain exe follows.	kain/_examples/lane_sieve.kn, kain/_examples/lane_sieve.exe, kain/_examples/README.md
2026-09-21	tool	build	Example 02: cadence_pair.kn — ON/OFF cadence gate as compiler-owned semantics (authority/mirror worlds, entangle, resonate tripwires, pulse epochs, law gates). Receipt PASS; exit 0/1/2 with a telemetry guard naming which layer failed to engage.	kain/_examples/cadence_pair.kn, kain/_examples/cadence_pair.exe
2026-09-22	mission	add	Copied Objective 1 (the bystander mission: traffic / monuments / payloads) into the repo so every task has a north star. AGENTS.md points at it as the first read.	_objective/objective_1.md, AGENTS.md
2026-09-22	docs	add	Wrote docs/spec.md — the TurboKain spec: what it is, why not just SetiYeti, the Kain->exe->receipts flow, open-game semantics, and the six rules (prove before replace, thresholds are data, receipts, human veto, build-is-the-gate, no hardcoded paths).	docs/spec.md
2026-09-22	docs	vendor	Vendored the Kain learning corpus into docs/kain/ so agents learn the language without ever entering the compiler repo: KAIN_BY_EXAMPLE.md, training/kain_omni.kn, examples/{fusion_chain,keyword_crucible,sieve-pattern}.kn, and all 36 docs-tsv lookup tables. THE_MESSIAH.KN (6,029-module amalgamation, ~795k lines) included as the expert reference.	docs/kain/
2026-09-22	docs	add	Wrote AGENTS.md — onboarding + operating rules modeled on SetiYeti's: what TurboKain is, what Kain is (so it is not mistaken for a toy), the vendored baseline, CLI + stdlib pointers, data location, download permission, non-negotiable rules, pitfalls, and the Critical "analyze, do not just report CSVs" mandate.	AGENTS.md
2026-09-22	build	infra	Added .gitignore: .kain/, _tmp/, out/, *.exe, *.pdb, *.ll never committed.	.gitignore
2026-09-22	env	fix	Fast-binary install: copied the current built compiler to D:\tools\kain\kain.exe and D:\kain\.kain\bin\kain.exe so `kain` is the no-Bazel fast path everywhere; moved the Bazel dev shim to D:\tools\kain-dev\kain.exe behind `kaindev`. Set KAIN_BAZEL_LAUNCHER_DIR=D:\kain\.kain\devbin so dev syncs can never clobber the fast binary.	D:\tools\kain\kain.exe, D:\tools\kain-dev\kain.exe, D:\kain\.kain\bin\kain.exe, D:\tools\kain\kaindev.bat, D:\tools\kain\refresh.bat
2026-09-22	env	fix	Stdlib-discovery bug fixed: module symbols (process/text/os/runtime_simd_*) silently vanished with "Unknown identifier" because no stdlib root was discoverable outside the D:\kain tree — builtins (fs_*, low-level runtime) still resolved, masking it. Fix: junction D:\kain\.kain\stdlib -> D:\kain\stdlib, copy runtime archive to D:\kain\.kain\lib\kain_runtime.lib (no-triple discovery path), and set KAIN_HOME / KAIN_STDLIB_PATH / KAIN_RUNTIME_LIB_PATH in User and Machine scope.	D:\kain\.kain\stdlib, D:\kain\.kain\lib\kain_runtime.lib
